fid,도로길이,도로개수
3248,4181.83419124633,55
3249,5046.98940256896,69
3250,4676.12696272937,58
3251,5009.91056409719,84
3252,4909.60072142524,63
3253,4671.31813023891,59
3254,5222.29317793725,59
3255,3315.15107041126,48
3256,5309.55255209916,73
3257,6806.4940918109,129
3258,3453.47186749642,42
3259,2999.89635544542,36
3286,748.522557836188,3
3293,774.052451274051,7
3294,485.861114174242,6
3295,1441.1574493731,12
3296,2102.55755600004,19
3298,1990.13021865234,29
3299,1990.29553211084,22
3300,4909.84648001391,44
3301,4561.30190987826,43
3302,4366.82746304425,46
3303,3165.40395554032,39
3304,2441.77301999839,26
3307,1640.65020129844,17
3308,5544.9412163346,65
3309,4717.43567546087,54
3310,2946.29069331218,30
3311,4081.19976662606,53
3317,965.443602966336,3
3318,566.57977124358,3
3319,1542.3095138553,6
3320,2692.40249687528,28
3321,5617.45054171046,82
3322,4233.80551678119,52
3323,5396.6985361781,76
3324,4276.88243732543,50
3325,5273.15307708939,61
3326,1081.074402607,18
3327,4387.22819134529,61
3328,5258.48951210305,72
3329,1412.28265681711,27
3330,5479.12906305989,58
3331,5788.84857795801,63
3332,4763.09807857223,43
3333,5707.93392520906,72
3334,1199.6699545526,15
3361,2675.1822700243,14
3375,1561.06418458125,9
3377,3325.50018482941,40
3379,880.611641671802,7
3384,4420.81587054015,49
3385,5787.7133839995,85
3387,4715.49293349183,55
3388,4578.34357640043,55
3395,1291.15784327666,4
3396,1206.29861995278,5
3397,4261.75311728874,53
3398,5122.50314847809,78
3399,3140.53598468825,27
3400,5889.50337205954,85
3401,3390.5243068106,32
3403,3133.17123638585,42
3404,5488.41217658315,68
3405,4899.67082518863,71
3406,4388.96749761407,53
3407,4850.69835281471,59
3408,4797.14006819525,55
3409,3569.66059100281,50
3410,1928.75534993658,24
3411,437.112856433542,1
3450,3306.51876979492,29
3451,4552.57244049218,55
3452,3386.42865349547,43
3456,362.240597481868,5
3460,4556.93875435918,54
3461,2993.87576136113,42
3462,3123.32843879588,46
3463,4475.87613232995,67
3464,2185.10508002906,25
3465,2738.14413959724,23
3471,1428.22521303757,5
3472,3034.10108900646,30
3473,4243.41701555418,51
3474,2079.69402159972,18
3475,2314.07250684678,26
3476,3704.20972609263,34
3477,3258.56180702254,19
3478,1776.62396201209,23
3479,2291.97850826729,37
3480,3426.19305369514,52
3481,5786.65592821678,90
3482,2363.76006743947,28
3484,1400.20472206693,12
3485,463.081000206431,2
3524,4186.07957604637,76
3525,5478.91355820721,78
3526,5014.17072313511,54
3527,3856.75476653738,54
3528,4581.59545447697,57
3529,1773.49084861918,27
3532,154.215533464744,3
3533,2969.35231416795,32
3536,2234.09947188702,31
3537,4454.07601196359,51
3538,1086.46459714783,12
3539,2864.02040329156,42
3540,3220.2081129226,26
3541,3177.03938157699,33
3542,3576.03072756786,50
3548,995.870074639698,5
3549,2957.43180328757,31
3550,2482.91961674267,20
3551,3000.45346689241,32
3552,4863.61701138914,57
3553,1890.53204153576,13
3554,879.594600328131,6
3555,2424.19267517118,29
3556,4937.78857865984,66
3557,5328.86673654652,74
3558,4723.15439629246,54
3559,1208.81911495644,17
3560,11.5089785342242,1
3561,1058.52026612829,4
3601,2880.60936887768,49
3602,3351.37110793929,41
3604,1295.11426627141,14
3610,1995.75252210134,19
3611,896.01304622528,5
3612,4204.79040089908,41
3613,293.286608996915,4
3614,1498.03060937848,10
3615,2041.51919763851,17
3616,3796.2510339521,41
3617,1622.31331051823,19
3618,2442.34138893145,25
3619,2549.88639387593,22
3624,2027.65245156832,12
3625,1908.59143867192,17
3626,3667.67609278239,32
3627,4365.61843975406,46
3628,3681.78438121515,31
3629,2040.11739627242,18
3630,676.131786004895,5
3631,2192.21398345253,29
3632,5840.07239327291,86
3633,3874.0983875033,34
3634,3645.61705662421,36
3635,1285.45965041324,10
3636,837.206394608164,2
3673,1889.13874132394,14
3683,2746.42391047212,23
3684,536.13672165343,1
3686,2874.93873182761,38
3687,3970.24657517144,68
3688,3293.10523196093,44
3689,2324.09966570021,23
3690,3199.13300571941,36
3691,4293.26594308408,52
3692,3669.62220605697,48
3693,2526.43461424239,22
3694,3760.54106816226,44
3695,4518.25520463301,65
3696,1374.45823812831,13
3697,2963.15437314135,29
3701,4029.61860512908,38
3702,2670.19782559974,33
3704,234.955796270856,4
3705,818.194303129744,6
3706,3846.03171465542,30
3707,1772.02416633475,27
3708,4699.14506702348,67
3709,4943.32606787197,68
3710,5011.98413943502,60
3711,3330.4538738879,38
3712,348.26861591066,2
3713,205.118194939212,2
3750,3493.5112067167,43
3751,2911.17760077524,34
3752,2610.50720600909,27
3759,2268.62554624584,20
3760,3177.38584756571,38
3761,2780.59313526998,41
3762,5040.63371234987,79
3763,6081.71502499853,103
3764,4679.98924614433,52
3765,3197.45389613752,34
3766,6060.86369834322,97
3767,3778.35025300613,59
3768,4693.13683428864,61
3769,4871.18981978729,69
3770,3378.65931237215,46
3771,814.710655098976,3
3772,0,0
3773,3047.06166966288,39
3777,2035.27878989138,18
3778,2881.01378304574,39
3779,1576.09036571955,22
3780,1810.04119220544,18
3781,1630.79404646488,9
3782,2356.59738140716,38
3783,3703.63352708014,55
3784,1450.29610412499,18
3785,5058.21359815245,65
3786,3832.19724401884,45
3787,2627.01229481387,21
3788,748.889652636586,3
3827,3329.51198628862,34
